title,rating,body,body_char_len,body_word_len,title_word_len,sentiment,full_text,clean_text,tokens,lemmatized_tokens,final_text
Worst camera quality,1,"Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.",201,34,3,Negative,"Worst camera quality Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.",worst camera quality worst camera quality it is like megapixel camera photos are very worst if you slightly zoom the photo you can see blurrypreviously i used megapixel amera phone those photos are very good,"['worst', 'camera', 'quality', 'worst', 'camera', 'quality', 'like', 'megapixel', 'camera', 'photos', 'worst', 'slightly', 'zoom', 'photo', 'see', 'blurrypreviously', 'used', 'megapixel', 'amera', 'phone', 'photos', 'good']","['worst', 'camera', 'quality', 'worst', 'camera', 'quality', 'like', 'megapixel', 'camera', 'photo', 'worst', 'slightly', 'zoom', 'photo', 'see', 'blurrypreviously', 'used', 'megapixel', 'amera', 'phone', 'photo', 'good']",worst camera quality worst camera quality like megapixel camera photo worst slightly zoom photo see blurrypreviously used megapixel amera phone photo good
No 5Ghz wifi band,1,"No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy",146,30,4,Negative,"No 5Ghz wifi band No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy",no ghz wifi band no ghz wifi band on this mobile miserable in even my previous mobile of samsung which i bought in have ghz wifi its a big comedy,"['no', 'ghz', 'wifi', 'band', 'no', 'ghz', 'wifi', 'band', 'mobile', 'miserable', 'even', 'previous', 'mobile', 'samsung', 'bought', 'ghz', 'wifi', 'big', 'comedy']","['no', 'ghz', 'wifi', 'band', 'no', 'ghz', 'wifi', 'band', 'mobile', 'miserable', 'even', 'previous', 'mobile', 'samsung', 'bought', 'ghz', 'wifi', 'big', 'comedy']",no ghz wifi band no ghz wifi band mobile miserable even previous mobile samsung bought ghz wifi big comedy
Cheated,1,Don't received  handset ejection  pin  and manual.,50,7,1,Negative,Cheated Don't received  handset ejection  pin  and manual.,cheated dont received handset ejection pin and manual,"['cheated', 'dont', 'received', 'handset', 'ejection', 'pin', 'manual']","['cheated', 'dont', 'received', 'handset', 'ejection', 'pin', 'manual']",cheated dont received handset ejection pin manual
Dont buy samsung m12 mobile,1,very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,147,22,5,Negative,Dont buy samsung m12 mobile very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,dont buy samsung m mobile very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m and amazon,"['dont', 'buy', 'samsung', 'mobile', 'poor', 'build', 'qualityvery', 'poor', 'camera', 'piclow', 'quality', 'phoneno', 'return', 'policyvery', 'worst', 'mobilejust', 'making', 'fool', 'customer', 'samsung', 'amazon']","['dont', 'buy', 'samsung', 'mobile', 'poor', 'build', 'qualityvery', 'poor', 'camera', 'piclow', 'quality', 'phoneno', 'return', 'policyvery', 'worst', 'mobilejust', 'making', 'fool', 'customer', 'samsung', 'amazon']",dont buy samsung mobile poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool customer samsung amazon
Good one in this price segment.,5,Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,229,42,6,Positive,Good one in this price segment. Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,good one in this price segment just unboxed the phoneseems to be a better one in this price segment as of nowjust checked with the camera voice it seems good but one thing its very heavy in weight may be due to batteryhope samsung lives upto expectation,"['good', 'one', 'price', 'segment', 'unboxed', 'phoneseems', 'better', 'one', 'price', 'segment', 'nowjust', 'checked', 'camera', 'voice', 'seems', 'good', 'one', 'thing', 'heavy', 'weight', 'may', 'due', 'batteryhope', 'samsung', 'lives', 'upto', 'expectation']","['good', 'one', 'price', 'segment', 'unboxed', 'phoneseems', 'better', 'one', 'price', 'segment', 'nowjust', 'checked', 'camera', 'voice', 'seems', 'good', 'one', 'thing', 'heavy', 'weight', 'may', 'due', 'batteryhope', 'samsung', 'life', 'upto', 'expectation']",good one price segment unboxed phoneseems better one price segment nowjust checked camera voice seems good one thing heavy weight may due batteryhope samsung life upto expectation
Hitting issue,1,Hitting issue,13,2,2,Negative,Hitting issue Hitting issue,hitting issue hitting issue,"['hitting', 'issue', 'hitting', 'issue']","['hitting', 'issue', 'hitting', 'issue']",hitting issue hitting issue
Worst product with cheap quality material.,1,Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,434,72,6,Negative,Worst product with cheap quality material. Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,worst product with cheap quality material worst product and low quality never expected this kind of product from samsung even though its having high end config it doesnt look that waycamera utterly disappointed never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no returnrefund option according to return policy only replacement that disappoints even more advising dont waste money on this product,"['worst', 'product', 'cheap', 'quality', 'material', 'worst', 'product', 'low', 'quality', 'never', 'expected', 'kind', 'product', 'samsung', 'even', 'though', 'high', 'end', 'config', 'doesnt', 'look', 'waycamera', 'utterly', 'disappointed', 'never', 'seen', 'kind', 'mobile', 'recent', 'past', 'buy', 'product', 'bare', 'no', 'returnrefund', 'option', 'according', 'return', 'policy', 'replacement', 'disappoints', 'even', 'advising', 'dont', 'waste', 'money', 'product']","['worst', 'product', 'cheap', 'quality', 'material', 'worst', 'product', 'low', 'quality', 'never', 'expected', 'kind', 'product', 'samsung', 'even', 'though', 'high', 'end', 'config', 'doesnt', 'look', 'waycamera', 'utterly', 'disappointed', 'never', 'seen', 'kind', 'mobile', 'recent', 'past', 'buy', 'product', 'bare', 'no', 'returnrefund', 'option', 'according', 'return', 'policy', 'replacement', 'disappoints', 'even', 'advising', 'dont', 'waste', 'money', 'product']",worst product cheap quality material worst product low quality never expected kind product samsung even though high end config doesnt look waycamera utterly disappointed never seen kind mobile recent past buy product bare no returnrefund option according return policy replacement disappoints even advising dont waste money product
Below average,1,"Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.",294,52,2,Negative,"Below average Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.",below average good battery heating while charging and using mobile data camera below average with mp true looks like mp heavy in weight and thickness okay that mah display is not good as other phones in this rage in terms of technology and display ratio overall below average in this price,"['average', 'good', 'battery', 'heating', 'charging', 'using', 'mobile', 'data', 'camera', 'average', 'mp', 'true', 'looks', 'like', 'mp', 'heavy', 'weight', 'thickness', 'okay', 'mah', 'display', 'not', 'good', 'phones', 'rage', 'terms', 'technology', 'display', 'ratio', 'overall', 'average', 'price']","['average', 'good', 'battery', 'heating', 'charging', 'using', 'mobile', 'data', 'camera', 'average', 'mp', 'true', 'look', 'like', 'mp', 'heavy', 'weight', 'thickness', 'okay', 'mah', 'display', 'not', 'good', 'phone', 'rage', 'term', 'technology', 'display', 'ratio', 'overall', 'average', 'price']",average good battery heating charging using mobile data camera average mp true look like mp heavy weight thickness okay mah display not good phone rage term technology display ratio overall average price
"RUBBISH PHONE, WANT MY MONEY BACK",1,"PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK",241,40,6,Negative,"RUBBISH PHONE, WANT MY MONEY BACK PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK",rubbish phone want my money back phone is total rubbish slowest to respond camera not at all good abruptly closes down youtube and other applications on itselfand this phone is utter waste camera quality is badnot at all happy with the producti want my money back,"['rubbish', 'phone', 'want', 'money', 'back', 'phone', 'total', 'rubbish', 'slowest', 'respond', 'camera', 'not', 'good', 'abruptly', 'closes', 'youtube', 'applications', 'itselfand', 'phone', 'utter', 'waste', 'camera', 'quality', 'badnot', 'happy', 'producti', 'want', 'money', 'back']","['rubbish', 'phone', 'want', 'money', 'back', 'phone', 'total', 'rubbish', 'slowest', 'respond', 'camera', 'not', 'good', 'abruptly', 'close', 'youtube', 'application', 'itselfand', 'phone', 'utter', 'waste', 'camera', 'quality', 'badnot', 'happy', 'producti', 'want', 'money', 'back']",rubbish phone want money back phone total rubbish slowest respond camera not good abruptly close youtube application itselfand phone utter waste camera quality badnot happy producti want money back
Perfect phone with this price,5,"This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.",153,26,5,Positive,"Perfect phone with this price This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.",perfect phone with this price this is perfect phone good speed decent specs and outstanding battery life the look of the device is also attractive above all the trust of company,"['perfect', 'phone', 'price', 'perfect', 'phone', 'good', 'speed', 'decent', 'specs', 'outstanding', 'battery', 'life', 'look', 'device', 'also', 'attractive', 'trust', 'company']","['perfect', 'phone', 'price', 'perfect', 'phone', 'good', 'speed', 'decent', 'spec', 'outstanding', 'battery', 'life', 'look', 'device', 'also', 'attractive', 'trust', 'company']",perfect phone price perfect phone good speed decent spec outstanding battery life look device also attractive trust company
Not recommended for Jiofiber users,1,"Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.",420,66,5,Negative,"Not recommended for Jiofiber users Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.",not recommended for jiofiber users very disappointing samsung manufactured only ghz support mobile in cost newer days below value mobiles also supporting dual bandi have purchased samsung mobile in will support ghz band manufactured mobile will not support dual band very shamefulthis is cheating of amazon not mentioned same in details about the product i am suggesting dont buy those who are using jiofiber wifi,"['not', 'recommended', 'jiofiber', 'users', 'disappointing', 'samsung', 'manufactured', 'ghz', 'support', 'mobile', 'cost', 'newer', 'days', 'value', 'mobiles', 'also', 'supporting', 'dual', 'bandi', 'purchased', 'samsung', 'mobile', 'support', 'ghz', 'band', 'manufactured', 'mobile', 'not', 'support', 'dual', 'band', 'shamefulthis', 'cheating', 'amazon', 'not', 'mentioned', 'details', 'product', 'suggesting', 'dont', 'buy', 'using', 'jiofiber', 'wifi']","['not', 'recommended', 'jiofiber', 'user', 'disappointing', 'samsung', 'manufactured', 'ghz', 'support', 'mobile', 'cost', 'newer', 'day', 'value', 'mobile', 'also', 'supporting', 'dual', 'bandi', 'purchased', 'samsung', 'mobile', 'support', 'ghz', 'band', 'manufactured', 'mobile', 'not', 'support', 'dual', 'band', 'shamefulthis', 'cheating', 'amazon', 'not', 'mentioned', 'detail', 'product', 'suggesting', 'dont', 'buy', 'using', 'jiofiber', 'wifi']",not recommended jiofiber user disappointing samsung manufactured ghz support mobile cost newer day value mobile also supporting dual bandi purchased samsung mobile support ghz band manufactured mobile not support dual band shamefulthis cheating amazon not mentioned detail product suggesting dont buy using jiofiber wifi
Very poor performance,1,Dislike,7,1,3,Negative,Very poor performance Dislike,very poor performance dislike,"['poor', 'performance', 'dislike']","['poor', 'performance', 'dislike']",poor performance dislike
Very bad self camera,1,Self camera is just like 2 mega pixels.,39,8,4,Negative,Very bad self camera Self camera is just like 2 mega pixels.,very bad self camera self camera is just like mega pixels,"['bad', 'self', 'camera', 'self', 'camera', 'like', 'mega', 'pixels']","['bad', 'self', 'camera', 'self', 'camera', 'like', 'mega', 'pixel']",bad self camera self camera like mega pixel
